title,release_date,runtime,original_language,overview,poster_path,genres,production_companies,production_countries,spoken_languages,keywords
Annadata,01-01-1972,123,hi,"After the passing away of her father, a local physician, Aarti takes it upon herself to dispense medicine, as well as sew clothes, and looks after a child named Kundan who has lost his legs to paralysis. She has a admirer in Arun, who secretly loves her, would like to marry her, but knows that he is poor and will be unable to afford a family, as he is a mere painter. Then an elderly man enters Aarti's life, he is ill, she offers to look after him until he gets better and leaves, but he does not leave, as he has nowhere to go, and she allows him to stay. Then good luck smiles on them as Arun sells one of his paintings, and he is able to get artificial legs for the child. What Arun and Aarti do not know is that the elderly male is really a very wealthy man named Ambarprasad, who had run away from his home when he was accused of having sex with his prot??g??, a young woman, who he had brought up. The question is what is Ambarprasad up to now?",/yBjgegE41HWVLWlTpLZBa3kvnow.jpg,"Family, Drama",L.B. Films,India,Hindi,
Shaque,01-12-1976,121,hi,Shaque is a 1976 Bollywood drama film directed by Vikas Desai and Aruna Raje. The film stars Vinod Khanna.,/rY64zCuEuozA8vxe0E4msIHY1yq.jpg,,,India,Hindi,
Shikari,01-01-1963,139,hi,"The owners of a circus set out to capture King Kong. They arrive by boat at Kong Island, only to discover that there is another monster living there. Complications ensue.",/qK5DDxPNuerDK4ZSheVhuIjaFDo.jpg,"Horror, Action, Fantasy",,India,Hindi,
Hum Intezaar Karenge,24-05-1989,140,hi,"Manisha is the only child of wealthy widower Barrister Vikas Anand. Manisha meets fellow collegian, Ajay, and after a few misunderstandings both fall in love with each other. Manisha introduces Ajay to her dad, who approves of him, but Ajay tells him that he cannot marry Manisha until he is well settled and able to afford all the comforts of life, he needs 3 years to accumulate enough wealth and then marry Manisha. Vikas is impressed by this and agrees to wait, subsequently Manisha also agrees. Ajay keeps Manisha posted about his success story. However, after the period of 3 years, Ajay disappears from Manisha's life. Her friend informs Manisha that she knows that Ajay has married another woman, and shows her photographs of Ajay and the woman. Watch as events unfold to show why Ajay chose to marry another woman, and what steps will Manisha and her dad take to hold Ajay accountable for his promise.",/tzeTXF3qDQiWJpq8dIFbeOUnR88.jpg,,,,,
Zara Si Zindagi,07-01-1983,0,hi,"An MA in philosophy, Raja arrives in Delhi to look for employment and comes across Kusum, a struggling stage actress. They both face hardships in order to make a living.",/pfOLytdLlk15mm1tnclGFyPUiE4.jpg,Drama,Premalaya,India,Hindi,"slice of life, class differences, unemployment"
Wo Meri Student Hai,10-05-2021,125,hi,"Wo Meri Student Hai is a movie directed by Kesar Matharu featuring Anup Jalota, Jasleen Matharu.",/qot3F3Wr6Nd6dRQ9u1exqIdtWWr.jpg,"Comedy, Drama",Kukku Films,India,Hindi,
Sikandar Sadak Ka,01-01-1999,144,hi,Sikandar is union leader of workers in a factory which is owned by Chawla a corrupt criminal lawyer . when he refuses to take bribe. Sikander and his family are killed .Sikander returns back. how will he face Chawla ?,/g2DFARxovtWB8oqEnCH8t6fNdgV.jpg,"Action, Drama",,India,Hindi,
Ladies Tailor,01-01-2006,137,hi,"Chander is the only tailor in his colony. Though talented, he is very lazy. He dreams of becoming big and live like a king. Chander meets a fortune-teller who informs him that he has Rajyog and that he should marry a Padmini jati girl with a mole on her right lap. His search for the right girl takes him to a yoga teacher, a widowed doctor and an unmarried girl. But to his dismay he finds none of them matches his requirements. Finally when he finds the right girl, he is in a dilemma. The three girls want to marry him at any cost. Now, he finds himself sandwiched between three girls and Radhika.",/uNXkMsqd8qyowSt2wS2nY99ARHp.jpg,Comedy,,India,Hindi,
Switchh,23-04-2021,0,hi,"SWITCHH as an action movie about friendship, love and betrayal, the plot revolves around three con artists who use their charm to dupe wealthy victims out of cash.",/iApjhcSpl8GVZXdILIDaqjLT8Cq.jpg,,,,Hindi,
"Chot [Aaj Isko, Kal Tereko]",18-06-2004,133,hi,Corrupt Mumbai policeman aids local property developer to force two brothers who own a dairy farm off their land.,/h0b81wEXl5ObDpqxsCkaNM2KJLZ.jpg,"Music, Action, Crime","Cenchurion Films, S.M. International, Unistar Multimedia",India,Hindi,
Aakrosh: Cyclone Of Anger,03-04-1998,144,hi,An officer faces personal challenges after he is assigned to stop killers of the Prime Minister.,/8jkKCn653iPvH75tcTWdsJFqAQC.jpg,,,,Hindi,
