title,release_date,runtime,original_language,overview,poster_path,genres,production_companies,production_countries,spoken_languages,keywords
Dilwale Dulhania Le Jayenge,20-10-1995,190,hi,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fianc??. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",/ktejodbcdCPXbMMdnpI9BUxW6O8.jpg,"Comedy, Drama, Romance",Yash Raj Films,India,Hindi,"family's daily life, family history, love-hate relationship, family drama, love affair"
3 Idiots,23-12-2009,170,hi,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside downü??along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the schoolü??s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",/66A9MqXOyVFCssoloscw79z8Tew.jpg,"Drama, Comedy","Vidhu Vinod Chopra Productions, Vinod Chopra Films",India,"English, Hindi, Sanskrit","suicide, suicide attempt, college, slapstick comedy, coming of age, friends, engineering, subjective camera"
My Name Is Khan,10-02-2010,165,hi,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who treat him as a terrorist because of his condition and his race.",/5Y36lCiNyyV71mjq6LavgiggbhT.jpg,"Drama, Romance","Dharma Productions, Fox Searchlight Pictures, Red Chillies Entertainment, Star Studios, Imagenation Abu Dhabi FZ","United Arab Emirates, India, United States of America","English, Hindi","autism, mumbai (bombay), india, based on true story, prejudice, religion, disability, asperger's syndrome, asian american"
Like Stars on Earth,21-12-2007,165,hi,"Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours, fish, dogs, and kites don't seem important to the adults, who are much more interested in things like homework, marks, and neatness. Ishaan cannot seem to get anything right in class; he is then sent to boarding school, where his life changes forever.",/fwXhw9bERqKrJfJK6WGakPIh3FS.jpg,Drama,"Aamir Khan Productions, PVR Pictures",India,"English, Hindi","jealousy, parent child relationship, boarding school, painter, father, dyslexia, teacher, little boy, india, childhood, teachers and students"
PK,18-12-2014,153,hi,"A stranger in the city asks questions no one has asked before. Known only by his initials, the man's innocent questions and childlike curiosity take him on a journey of love, laughter and letting go.",/z2x2Y4tncefsIU7h82gmUM5vnBJ.jpg,"Comedy, Drama, Adventure, Science Fiction","Rajkumar Hirani Films, Vinod Chopra Films, UTV Motion Pictures",India,Hindi,"friendship, society, christianity, hinduism, islam, alien, love, religion, sociology, belief in god, islamophobia, pakistan vs india, sikhism, jainism"
Dangal,21-12-2016,161,hi,"Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.",/1xoavuB5bO92wo3eFQjZN2I9ptV.jpg,"Drama, Family, Comedy, Action","Aamir Khan Productions, Walt Disney Pictures, UTV Motion Pictures","India, United States of America",Hindi,"small town, strong woman, sports, parent child relationship, empowerment, feminism, wrestling, training, biography, autobiography, domestic abuse, fighting, womanhood, endurance, woman vs woman fight, female empowerment, determination, strength training, abusive father, overcoming fears, father daughter relationship"
The Lunchbox,20-09-2013,104,hi,"A mistaken delivery in Mumbai's famously efficient lunchbox delivery system (Mumbai's Dabbawallahs) connects a young housewife to a stranger in the dusk of his life. They build a fantasy world together through notes in the lunchbox. Gradually, this fantasy threatens to overwhelm their reality.",/jSOiz1h97i3qwjZJXY8SeLvjPsl.jpg,"Drama, Romance","UTV Motion Pictures, Sikhya Entertainment, DAR Motion Pictures, Dharma Productions, ARTE France Cin??ma, CNC, The Match Factory, Asap Films, Rohfilm, Cine Mosaic, National Film Development Corporation of India, Sony Pictures Classics","France, Germany, India, United States of America","English, Hindi","housewife, mumbai (bombay), india, food, tiffin, gastronomia, indian cuisine"
Lagaan: Once Upon a Time in India,15-06-2001,224,hi,"In 1890s India, an arrogant British commander challenges the harshly taxed residents of Champaner to a high-stakes cricket match.",/yNX9lFRAFeNLNRIXdqZK9gYrYKa.jpg,"Adventure, Romance, Drama","Aamir Khan Productions, Jhamu Sughand Productions, Ashutosh Gowariker Productions",India,"English, Urdu, Hindi","countryside, sports, patriotism, village, musical, challenge, cricket, taxes, based on true story, period drama, colonialism, british colonial, arrogance, untouchable, caste system, drought, 19th century, british raj, gujarati"
Kabhi Khushi Kabhie Gham,14-12-2001,209,hi,"Years after his father disowns his adopted brother for marrying a woman of lower social standing, a young man goes on a mission to reunite his family.",/lRl7wrJmkOzMTDVYFSIpUcsIjPQ.jpg,"Comedy, Drama",Dharma Productions,India,"English, Hindi","london, england, parent child relationship, adoption, delhi, india, forbidden love, reunion, class differences, family conflict, watch on youtalkies"
Bajrangi Bhaijaan,17-07-2015,159,hi,A young mute girl from Pakistan loses herself in India with no way to head back. A devoted man with a magnanimous spirit undertakes the task to get her back to her motherland and unite her with her family.,/rNfToRJw35h7a4y6HXGRgfkLvdc.jpg,"Comedy, Drama, Action","Rockline Entertainments, Kabir Khan Films, Salman Khan Films",India,"Hindi, Urdu","religion, journey, lost child"
Andhadhun,05-10-2018,139,hi,A series of mysterious events changes the life of a blind pianist who now must report a crime that was actually never witnessed by him.,/dy3K6hNvwE05siGgiLJcEiwgpdO.jpg,"Crime, Thriller, Comedy","Viacom18 Studios, Matchbox Pictures",India,"English, Hindi","pianist, blind man, piano"
Rang De Basanti,26-01-2006,157,hi,"After a group of friends graduate from Delhi University, they listlessly haunt their old campus, until a British filmmaker casts them in a film she's making about freedom fighters under British rule. Although the group is largely apolitical, the tragic death of a friend owing to local government corruption awakens their patriotism. Inspired by the freedom fighters they represent in the film, the friends collectively decide to avenge the killing.",/f1bF8CHzEu621bPSIg6XiUNAabh.jpg,"Comedy, Drama, History","UTV Motion Pictures, Rakeysh Omprakash Mehra Pictures",India,"English, Hindi, Punjabi","students' movement, patriotism, war of independence, coming of age, celebration, corrupt politician, indian freedom struggle"
Drishyam,30-07-2015,163,hi,"A simple, street-smart man tries to protect his family from a tough cop looking for his missing son.",/gIClWRv5OSe8rl5Koi0AeUcCZ9Z.jpg,"Crime, Drama, Thriller, Mystery","Panorama Studios, Viacom18 Studios",India,Hindi,"police, blackmail, hidden camera, remake, murder, family, phone, based on movie, false evidence"
Ghajini,25-12-2008,186,hi,"A man suffering from anterograde amnesia as a result of a violent attack in the past sets out to avenge his girlfriend's death with the aid of photographs, notes and tattoos all over his body.",/cPLzHxPFRjzNvoyncdtDGBAxjp.jpg,"Action, Romance, Thriller",Geetha Arts,India,Hindi,"tattoo, businessman, love at first sight, gangster, diary, villain, revenge, brutality, police officer, polaroid, short-term memory, medical student"
Kuch Kuch Hota Hai,16-10-1998,185,hi,"Per her mother's last wish, an 8 year old girl sets out to reunite her father with his college best friend who was in love with him.",/5FmtHHDGPofW5Zjns1EM1D8503c.jpg,"Romance, Drama",Dharma Productions,India,Hindi,"soulmates, friendship bracelet, love, falling in love, unhappiness, childhood friends"
Kal Ho Naa Ho,27-11-2003,186,hi,An uptight MBA student falls for the charismatic new neighbor who charms her troubled family ü?? but he has a secret that forces him to push her away.,/zhMI6I0kSLnewTMwE0A8Tz3Cj2f.jpg,"Comedy, Drama, Romance",Dharma Productions,India,"English, Hindi","new york city, musical"
Gangs of Wasseypur - Part 1,22-06-2012,160,hi,"In 1970s India, a young man vows to take revenge on the man who killed his father decades earlier.",/yd7ltAY4j2tRrLAFpVVqh9EhahC.jpg,"Action, Thriller, Crime","Anurag Kashyap Films, Jar Pictures",India,Hindi,"mafia, gang, coal mining"
Om Shanti Om,07-11-2007,162,hi,"Reincarnated 30 years after being killed in a suspicious on-set fire, a small-time actor is determined to punish the person who ignited the blaze.",/hQrwdiacMM5XDUkKdv3pCS6VFt8.jpg,"Comedy, Thriller, Drama",Red Chillies Entertainment,India,"English, Hindi","psychopath, 1970s, musical, reincarnation, sociopath, revenge, betrayal, disco, predator turns victim, unlikely lovers, woman director, desire for fame, 2000s, crossover"
Zindagi Na Milegi Dobara,15-07-2011,154,hi,"Three friends who were inseparable in childhood decide to go on a three-week-long bachelor road trip to Spain, in order to re-establish their bond and explore thrilling adventures, before one of them gets married. What will they learn of themselves and each other during the adventure?",/hKO9O715wYxjkQSEv47giCYcyO8.jpg,"Drama, Comedy, Romance","UTV Motion Pictures, Excel Entertainment, Eros International, Kanzaman Productions","India, Spain",Hindi,"school friend, friendship, cheating, painter, poet, vacation, travel, scuba diving, misunderstanding, lyricist, childhood friends, road movie, flirting, female domination, scuba diver, father son conflict, sky diving"
Ra.One,24-10-2011,156,hi,"When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save their creator's family.",/mXlS41qbd0bzhO44iPDtJqYtQt8.jpg,"Adventure, Action, Science Fiction","Red Chillies Entertainment, Eros International, Prime Focus",India,Hindi,"video game, superhero, villain, sci-fi, action, adventure"
Devdas,11-07-2002,185,hi,"After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",/n853Gvyy5tGz6BujE6jeuVqjXKM.jpg,"Drama, Romance","V.I.P. Films, Mega Bollywood Private Limited",India,Hindi,"based on novel or book, courtesan, remake, calcutta, family disapproval, childhood sweetheart, 1900s, kolkata, india"
Chennai Express,08-08-2013,141,hi,"Rahul embarks on a journey to a small town in Tamil Nadu to fulfill the last wish of his grandfather: to have his ashes immersed in the Holy water of Rameshwaram. En route, he meets a woman hailing from a unique family down South. As they find love through this journey in the exuberant lands of South India, an unanticipated drive awaits them.",/9LZgpUyFEvqHaDVuveE002mhgTi.jpg,"Romance, Comedy, Action","Red Chillies Entertainment, UTV Motion Pictures",India,"Hindi, Tamil","temple, grandfather, romantic rivalry, ashes, journey"
Barfi!,13-09-2012,151,hi,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,/8lVuWmArvr41CvyvpgI3elD5iB1.jpg,"Drama, Romance, Comedy","Ishana Movies, UTV Motion Pictures",India,Hindi,"deaf-mute, autism, love, wedding, handicapped"
Chak De! India,09-08-2007,148,hi,"A team of rag-tag girls with their own agenda form Team India competing for international fame in field hockey. Their coach, the ex-men's Indian National team captain, returns from a life of shame after being unjustly accused of match fixing in his last match. Can he give the girls the motivation required to win, while dealing with the shadows of his own past?",/mmFMgEsTRCAGAtwffGpuo3mJsxN.jpg,Drama,Yash Raj Films,India,"English, Hindi","sports, coach, field hockey"
Swades,17-12-2004,189,hi,"A successful Indian scientist returns home to his village to take his nanny back to America with him, and in the process rediscovers his roots.",/yUSL24kpHc9Nls4Pohia4shgcIM.jpg,Drama,"Ashutosh Gowariker Productions, UTV Motion Pictures","India, United States of America","English, Hindi","nasa, social issues"
Dilwale,18-12-2015,158,hi,Raj is a Mafia member. One day he meet a girl (Meera) while chasing by his rival gang and falls in love with her. Later he finds out that this girl is the daughter of the leader of his rival gang. Yet their love story continues until he was shot by his girlfriend upon a deep misunderstanding. After that incident these two lovers lives separate until their siblings fallen in love. With this new love story their paths intertwines again.,/pYgPu6hhOr61knwbestTx4vSdMb.jpg,"Crime, Action, Comedy","Red Chillies Entertainment, Rohit Shetty Productionz",India,"Hindi, English",mafia
A Wednesday!,05-09-2008,103,hi,"A retired police commissioner recounts the most memorable case of his career, wherein he was informed about a bomb scare in Mumbai.",/gVUSxtJM3arL5VIUIRNYde20EF0.jpg,"Drama, Thriller",UTV Motion Pictures,India,Hindi,"police, bomb, al qaeda, bomb threat"
Kahaani,08-03-2012,122,hi,"Pregnant and alone in the city of Kolkata, a woman begins a relentless search for her missing husband, only to find that nothing is what it seems.",/shsN1B7IPAQG1NLF6WVVi3X89lM.jpg,"Mystery, Thriller","Viacom18 Studios, Pen Studios, Bound Script Production",India,"Bengali, Hindi, English","investigation, police corruption, india, missing husband, nerve gas"
Munna Bhai M.B.B.S.,19-12-2003,156,hi,A gangster sets out to fulfill his father's dream of becoming a doctor.,/nZNUTxGsSB4nLEC9Bpa2xfu81qV.jpg,"Comedy, Drama",Vidhu Vinod Chopra Productions,India,Hindi,"medicine, hospital"
Dil Chahta Hai,24-07-2001,183,hi,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",/3Rwy4UjWBGEbD23xjyeBsL3OnXQ.jpg,"Drama, Romance",Excel Entertainment,India,Hindi,
Bajirao Mastani,18-12-2015,158,hi,"Peshwa Bajirao married to Kashibai, falls in love with Mastani, a warrior princess in distress. They struggle to make their love triumph amid opposition from his conservative family.",/a3kM4CBTSI4NC8KYeSRJCh55liV.jpg,"History, Romance, Drama","Eros International, Bhansali Productions",India,Hindi,"epic, husband wife relationship, based on true story, romance, love, battle, period drama, 18th century, warrior, mother son relationship"
Rab Ne Bana Di Jodi,11-12-2008,167,hi,"A lonely 40-ish man, likely to remain a bachelor, has a chance to find the love of his life when he falls for a vivacious young woman.",/m8x6I2qf3R98HtF4DmJXcdxCU64.jpg,"Comedy, Drama, Romance",Yash Raj Films,India,"Hindi, English",
Dhoom 3,19-12-2013,171,hi,"To avenge his father's death, a circus entertainer trained in magic and acrobatics turns thief to take down a corrupt bank in Chicago. Two cops from Mumbai are assigned to the case.",/rUVTM5EQUQ2I0fcfE46AkvBYWae.jpg,"Action, Adventure, Crime, Thriller","Yash Raj Films, Dhoom Studios",India,"English, Hindi","circus, bank robber, sequel, heist, bank heist, motorcycle chase"
Queen,07-03-2014,146,hi,"Rani, a 24-year-old homely girl, decides to go on her honeymoon alone when her fianc?? calls off the wedding. Traveling around Europe, she finds joy, makes friends, and gains new-found independence.",/vKLp0X2RQOuA31R3AdaYtDdKIPK.jpg,"Comedy, Drama","Phantom Films, Viacom18 Studios",India,Hindi,"dancing, friendship, paris, france, self-discovery, roommate, canceled wedding"
Padmaavat,25-01-2018,164,hi,"Rajputana, India, 13th century. The tyrannical usurper Alauddin Khilji, sultan of Delhi, becomes obsessed with Queen Padmavati, wife of King Ratan Singh of Mewar, and goes to great lengths to satisfy his greed for her.",/qrvHfnVbx2FLCB5lfhOPnSzg6mS.jpg,"Drama, History, Romance","Bhansali Productions, Viacom18 Studios",India,Hindi,"epic, husband wife relationship, obsession, queen, delhi, india, afghanistan, sultan, musical, romance, honor, king, battle, period drama, fortress, based on song, poem or rhyme, medieval, mongol, history of india, 13th century, ancient india, mewar, india"
Sholay,15-08-1975,204,hi,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",/ya9bwgqA4eNl5bQ9QqS0jcmRoBS.jpg,Action,"Sippy Films, NH Studioz",India,Hindi,"police, fight, village, bandit"
Jab We Met,26-10-2007,138,hi,A depressed wealthy businessman and a spunky and care-free young woman embark on an unexpected journey that changes their lives.,/reEzvhfp85DTapHSPRzBULCXUuz.jpg,"Drama, Comedy, Romance",Shree Ashtavinayak Cine Vision,India,"English, Hindi, Punjabi","love of one's life, unexpected happiness, arranged marriage, romantic comedy, calamity, remake, train, elopement"
English Vinglish,21-09-2012,134,hi,"In the United States for the first time, an Indian housewife with a limited command of English turns Manhattan into her personal language school.",/ccEVR8sf18psGH5daio9y7OGu93.jpg,"Comedy, Drama, Family","Lola's Productions, Eros International, Curbside Films, Hope Productions",India,Hindi,"classroom, housewife, speech, foreign language, wedding, xenophobia, manhattan, new york city, social differences, woman director"
Don,20-10-2006,178,hi,"DCP DeSilva sees a way to bring to justice the feared head of a criminal empire by recruiting a man named Vijay, who looks exactly like the crime boss. The ruse works too well, and soon Vijay finds his life in danger when DeSilva, the only one who knows his true identity, dies.",/1d52h7aDRlc5IPUFno24XPNT6hA.jpg,"Action, Drama, Thriller",Excel Entertainment,India,Hindi,"drug trafficking, remake, doppelg??nger, don"
Veer-Zaara,12-11-2004,192,hi,"Squadron Leader Veer Pratap Singh, a pilot in the Indian air force, rescues the stranded Zaara, a woman from Pakistan, following a bus accident, and their lives are forever bound.",/7rc8qXMjMcemhVFjKP2JWCS1Wpz.jpg,"Drama, Romance",Yash Raj Films,India,"Hindi, Urdu, Punjabi","prison, class society, love of one's life, pilot, musical, pakistan, india, kashmir conflict"
Yeh Jawaani Hai Deewani,31-05-2013,160,hi,Bunny and Naina meet when they graduate from college and again in their late 20s.,/em39H81XLCDgXsI7V4IcBZseEO6.jpg,"Romance, Comedy","Dharma Productions, UTV Motion Pictures, Eros International",India,Hindi,"friendship, romantic comedy, dysfunctional family, relationship"
Fan,14-04-2016,138,hi,"A man who bears a striking resemblance to a renowned movie star becomes an obsessive fan, but when his fierce love is spurned by the star, he decides to destroy the star's life and reputation.",/ukMYsujfyWhSeIBAc9hGEFEkrJD.jpg,"Action, Adventure, Thriller","Red Chillies Entertainment, Yash Raj Films",India,Hindi,"obsession, revenge, fan culture, obsessed fan, deconstruction of celebrity"
Happy New Year,24-10-2014,180,hi,Six would-be thieves enter a prestigious dance competition as a cover for their larger goal of pulling off a major heist.,/irK5WgHuNKfuyKhUDOGD6HG7LCY.jpg,"Action, Comedy, Crime",Red Chillies Entertainment,India,Hindi,"dance, diamond, competition, stripper, heist, dubai, con artist, thief, pole dancer, diamond heist, woman director, bar dancer"
Jab Tak Hai Jaan,13-11-2012,176,hi,A bomb disposal expert becomes bitter and lonely and is unable to fall in love until he is forced to deal with his past.,/1TlzJZrzUlaC95Noqt3oMoxQxCu.jpg,"Drama, Romance",Yash Raj Films,India,"English, Hindi",
Period. End of Sentence.,05-04-2018,26,hi,"In an effort to improve feminine hygiene, a machine that creates low-cost biodegradable sanitary pads is installed in a rural village in Northern India. Using the machine, a group of local women is employed to produce and sell pads, offering them newfound independence and helping to destigmatize menstruation for all.",/pKYHYlujtTDS0kZM80MUX7l3T58.jpg,Documentary,"Sikhya Entertainment, The Pad Project",United States of America,"English, Hindi",short film
Main Hoon Na,30-04-2004,179,hi,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",/iiZ8BgmAsxKUEyO6ux8z6GHiE6j.jpg,Drama,"Red Chillies Entertainment, Venus Films",India,"Hindi, English","college, undercover operation, army major, masala, india pakistan border, lost brother"
Bhaag Milkha Bhaag,12-07-2013,186,hi,"The true story of the ""Flying Sikh"" world champion runner and Olympian Milkha Singh who overcame the massacre of his family, civil war during the India-Pakistan partition, and homelessness to become one of India's most iconic athletes.",/sBBPPAJ4Y5J3LuhFxFPWII46THZ.jpg,"History, Action, Drama",Viacom18 Studios,India,Hindi,"fight, knife, biography, past, sister, love, jail, slaughter, family, sports documentary, athlete"
War,02-10-2019,151,hi,"Khalid, is entrusted with the task of eliminating Kabir, a former soldier turned rogue, as he engages in an epic battle with his mentor who had taught him everything.",/7JeHrXR1FU57Y6b90YDpFJMhmVO.jpg,"Action, Thriller, Adventure","Yash Raj Films, Reverie Entertainment",India,Hindi,"friendship, chase, gun, italy, portugal, spy, traitor, two man army, karate, love, betrayal, shootout, one man army, explosion, india, motorcycle, one against many, mentor prot??g?? relationship, motorcycle chase, new delhi india, yrf spy universe"
Jodhaa Akbar,13-02-2008,213,hi,A sixteenth century love story about a marriage of alliance that gave birth to true love between a Mughal emperor and a Rajput princess.,/bEltVQbNJpsl9sopLVkE5z24Ssj.jpg,"Romance, History, Drama","UTV Motion Pictures, Ashutosh Gowariker Productions",India,"Hindi, Urdu","epic, husband wife relationship, marriage crisis, emperor, hindu, biography, sword fight, period drama, domineering mother, mughal empire, marriage of alliance, 16th century, love after marriage, hindu muslim conflict"
Hera Pheri,31-03-2000,156,hi,"Three unemployed men find the answer to all their money problems when they receive a call from a kidnapper. However, things do not go as planned.",/kdgazQ9Beh6IzFCGtjHb93w0KXk.jpg,"Comedy, Crime",A.G. Films,India,Hindi,classic bollywood
Dhoom 2,24-11-2006,151,hi,"Jai and Ali return, this time on the trail of an international thief who steals priceless artifacts and has chosen Mumbai as his next target.",/3zJLnrP9g9LSMpX5C1wau49gGUv.jpg,"Drama, Action, Thriller, Crime","Yash Raj Films, Dhoom Studios",India,"English, Hindi","robbery, sequel, heist, disguise, buddy cop, motorcycle chase"
Krrish,23-06-2006,174,hi,"In Singapore, Krishna is forced by circumstances to use his superpowers and become a masked superhero named Krrish, before getting drawn towards his lost legacy.",/neJo0Xt9NH6aPBPNhKfHFQpwrcC.jpg,"Action, Science Fiction","Film Kraft, Golden Network Asia","Hong Kong, India","Hindi, English",superhero
Dear Zindagi,23-11-2016,151,hi,An unconventional thinker helps a budding cinematographer gain a new perspective on life.,/oUg0N2isgZ5rrxdXnsemcKolfKZ.jpg,"Drama, Romance","Red Chillies Entertainment, Dharma Productions, Hope Productions",India,"English, Hindi","depression, cinematographer, coming of age, psychologist"
Neerja,19-02-2016,122,hi,"Neerja is a portrayal on the life of the courageous Neerja Bhanot, who sacrificed her life while protecting the lives of 359 passengers on the Pan Am flight 73 in 1986. The flight was hijacked by a terrorist organization.",/alDRJWHI1TfqB9ev6cMbVE5P92x.jpg,"Drama, Thriller","Star Studios, Bling Unplugged",India,Hindi,"hijacking, biography, based on true story, airplane hijacking, terrorism, tragic event, heroine, flight attendant"
Haider,02-10-2014,150,hi,A young man returns to Kashmir after his father's disappearance to confront his uncle - the man he suspects to have a role in his father's fate.,/lOCotkHPODWdsRDMoLbSdLdVT3L.jpg,"Crime, Action, Drama, Romance","Vishal Bhardwaj Pictures, UTV Motion Pictures",India,Hindi,"death of father, revenge, kashmir conflict, hamlet, avenge"
Mohabbatein,27-10-2000,216,hi,"At a prestigious all-male university, three friends seek love outside of the school grounds; at the same time, a newly-hired music teacher seeks to befriend and loosen up the militantly strict headmaster.",/zB7zJQgk4pPoxsPzZP0CqUgHuXN.jpg,"Drama, Romance",Yash Raj Films,India,Hindi,"becoming an adult, tradition, forbidden love, musical, elite, principal, discipline, school life, teachers and students"
Tumbbad,12-10-2018,113,hi,"India, 1918. On the outskirts of Tumbbad, a cursed village where it always rains, Vinayak, along with his mother and his brother, care of a mysterious old woman who keeps the secret of an ancestral treasure that Vinayak gets obsessed with.",/z1xOCxw780WFJC5uCTMfCkQ4Agi.jpg,"Horror, Fantasy","Filmgate Films, Film i V??st, Sohum Shah FIlms, Colour Yellow Productions, Eros International","India, Sweden","English, Hindi, Marathi","husband wife relationship, independence, village, greed, india, evil, wheat, hindu mythology, cursed, father son relationship"
Don 2,23-12-2011,139,hi,"Having conquered the Asian underworld, crime boss Don sets in motion a plan that will give him dominion over Europe.",/2gBM8c36HIwn4vc2UuMeliqiCKY.jpg,"Action, Thriller","Excel Entertainment, Red Chillies Entertainment, Landmark Productions, Pixion Studio","India, Germany",Hindi,sequel
OMG: Oh My God!,28-09-2012,125,hi,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,/wUnwafB1Zvt6Hvy5g8m5E6Dm3uz.jpg,"Comedy, Drama, Fantasy",Hari Om Entertainment,India,Hindi,
Sultan,06-07-2016,170,hi,"The ageing wrestler Sultan Ali Khan decides to try his luck on the mat again; to do this, he wants to represent his country at the Olympic Games, but first has to overcome personal issues.",/uNpt24ESuyTU6vNFrA9NkrUkImH.jpg,"Drama, Action, Romance",Yash Raj Films,India,"English, Hindi","sports, wrestling"
Raees,25-01-2017,143,hi,"Set in the early ü??80s and ü??90s in Gujarat, India, ü??Raeesü?? is a fictitious story of a crime lord named Raees, who builds an entire empire from scratch, and a police officer who is determined to bring him down.",/zFYFUfnoXWxeA3n7v4acEqgk2iE.jpg,"Thriller, Action, Crime","Red Chillies Entertainment, Excel Entertainment",India,Hindi,"bootlegger, bootlegging"
Andaz Apna Apna,11-04-1994,160,hi,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,/a0GV2V3yif2DbsMCSBrivvSHUWQ.jpg,"Comedy, Romance, Family",Vinay Pictures,India,Hindi,"romantic rivalry, laxative"
Pink,16-09-2016,136,hi,"A sexual assault victim, unjustly tried for the attempted murder of her attacker, is defended by a retired lawyer who challenges India's rape culture.",/6xNhnyKm2M5FEOY7xv5iKiQ5P3.jpg,"Drama, Thriller","Saraswati Entertainment Creations Limited, Rising Sun Films",India,"Hindi, English","trial, lawyer, false accusations, attempted rape, courtroom, intimidation, social thriller, courtroom drama"
Kites,21-05-2010,123,hi,"A wounded man searches for his sweetheart in the Mexican desert while on the run from the police, bounty hunters, and others.",/lYJhUIsKtlke4gNNHkYZNppYlTZ.jpg,"Drama, Action, Romance","Bollywood Hollywood Production, Reliance Entertainment, Film Kraft, Bollywood Hollywood Production",India,"English, Spanish, Hindi","dancing, fugitive, interracial romance, tragic event, desert, dance instructor"
Talaash,30-11-2012,149,hi,"A cop, investigating the mysterious death of a filmstar, meets a sex-worker, while he faces some personal problems psychologically. The mystery connects these people in a way, that ultimately changes their lives.",/oCxyN7HmJ7zWp8jtJeMRHABnutF.jpg,"Crime, Drama, Thriller","Aamir Khan Productions, Excel Entertainment",India,Hindi,"murder, police investigation, murder investigation, woman director, neo-noir"
Pad Man,09-02-2018,140,hi,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India.",/kHyoFs6BIJJwCaFlWu6P5Bnpa70.jpg,"Comedy, Drama","KriArj Entertainment, Hari Om Entertainment, Columbia Pictures, Sony Pictures Films India",India,Hindi,"superhero, village, invention, biography, menstruation, based on true story, taboo, based on short story, dramedy, social awareness"
Koi... Mil Gaya,08-08-2003,171,hi,A developmentally disabled man meets an extraterrestrial after a huge spacecraft leaves it behind.,/2iJVauDYcYxRRGciTmAOSjiATf9.jpg,"Drama, Science Fiction, Action",Film Kraft,India,"English, Hindi","friendship, romance, alien, sci-fi"
Kabhi Alvida Naa Kehna,11-08-2006,193,hi,"Dev and Maya are both married to different people. Settled into a life of domestic ritual, and convinced that they are happy in their respective relationships, they still yearn for something deeper and more meaningful, which is precisely what they find in each other.",/dkYQgRPuik4FGIUdGGVYGQJWrHa.jpg,"Drama, Romance",Dharma Productions,India,"Hindi, English","adultery, extramarital affair"
Mom,07-07-2017,147,hi,"After her stepdaughter is sexually assaulted at a party, a furious mother sets out to destroy the lives of the four perpetrators who walked free.",/zZwbntqdfKdVgzH1RoMHa99g0mJ.jpg,"Crime, Drama, Thriller","Third Eye Pictures, Mad Films",India,"Hindi, English","dancing, rape, police, kidnapping, aggression, rape victim, revenge, rapist, private detective, physical abuse, rape and revenge, sexual assault, mother daughter relationship, stepmother stepdaughter relationship, vigilante justice"
Bang Bang!,02-10-2014,153,hi,"A young bank receptionist gets mixed up with Rajveer Nanda, a man who has a mysterious background.",/6ukTOJ3VNqrR0un8nolKoIlgn1V.jpg,"Action, Adventure, Comedy, Romance, Thriller","Star Studios, Benetone Films, Fox International Productions India, Milk & Honey Pictures","Czech Republic, India, Thailand",Hindi,"rescue, dancing, london, england, secret agent, heist, revenge, jewel heist, jewel thief, motorcycle chase"
Monsoon Wedding,30-08-2001,114,hi,"As the romantic monsoon rains loom, the extended Verma family reunites from around the globe for a last-minute arranged marriage in New Delhi. This film traces five intersecting stories, each navigating different aspects of love as they cross boundaries of class, continent and morality.",/nchsMqHcTE7kIylMKQjmEZb4E6H.jpg,"Comedy, Drama, Romance","IFC Films, Mirabai Films","France, Germany, India, Italy, United States of America","English, Hindi","adultery, child abuse, arranged marriage, delhi, india, family drama, wedding, wedding ceremony, woman director, eccentric family, extended family, wedding rehearsal, wedding arranger, class system, rich vs poor, love story, parallel stories, ensemble cast, indian wedding, indian woman, heartfelt, family comedy, daughter's wedding, family melodrama"
